Price,Close,High,Low,Open,Volume
Ticker,AJG,AJG,AJG,AJG,AJG
Date,,,,,
2024-02-26,241.8909454345703,244.12113164257292,241.65306858534433,242.9317020231885,593200
2024-02-27,241.4052734375,241.55394647031073,239.82927879203274,240.9988803152595,669000
2024-02-28,243.30836486816406,243.81386830619286,241.26650787903566,241.95043408158065,668800
2024-02-29,242.37437438964844,243.5269803435508,240.06917764332272,243.5269803435508,1183100
2024-03-01,241.98684692382812,242.473727467209,240.6255887820504,242.15577611183141,458800
2024-03-04,240.97335815429688,241.68876764205652,240.3076328290301,241.00316561949705,582000
2024-03-05,243.7853240966797,243.97409966519956,239.6816576861212,240.87400183800528,719800
2024-03-06,247.03445434570312,247.23319100163118,243.44747603148707,243.77537331999457,684200
2024-03-07,248.3162384033203,249.29991511675192,246.67675194513714,246.88541937126166,682500
2024-03-08,250.08486938476562,250.4624508165345,247.80946518796958,247.83927265242738,943900
2024-03-11,251.098388671875,251.23749523758997,248.49508699709725,249.79673025374686,665100
2024-03-12,253.19493103027344,253.89046385319685,250.53201444346575,251.0586332352134,738100
2024-03-13,253.7513427734375,254.05936335157847,251.49581524103448,253.373761336244,603700
2024-03-14,253.2843475341797,254.07924866822236,251.81377512968345,253.3737699318715,698400
2024-03-15,251.55545043945312,253.89046978685164,249.2701152580271,249.81661076076705,1521400
2024-03-18,252.07212829589844,253.76128374040167,249.02169953381684,250.36309615351308,821500
2024-03-19,252.2410430908203,253.51287885253367,250.84997746440825,252.43976458581085,930500
2024-03-20,254.2382049560547,254.4667490659549,251.43619716152293,252.35032811669174,812000
2024-03-21,248.7037353515625,254.05936046304527,248.53482133196943,254.05936046304527,1409100
2024-03-22,244.95777893066406,249.78678538427283,244.93790223340443,249.4092039437282,1042300
2024-03-25,244.0138397216797,245.63344940998724,243.75550330402942,244.97765485578543,854800
2024-03-26,244.65969848632812,246.47802973753235,243.07984212693827,243.83498987546642,978600
2024-03-27,246.20974731445312,247.0543326231127,244.27218619859215,245.89179595359613,874300
2024-03-28,248.44540405273438,249.30986607958388,245.92160915908167,247.4120431539852,960700
2024-04-01,245.60362243652344,248.20692391005798,244.7391756422248,247.49151443840486,589900
2024-04-02,243.79525756835938,247.10402286052425,243.23883130207554,246.50784319723235,770800
2024-04-03,243.80517578125,245.84210517087325,243.63626175636114,243.99396650361928,644700
2024-04-04,238.7675323486328,245.65333022369148,238.5290574479872,245.65333022369148,1134600
2024-04-05,242.43399047851562,244.39142826871227,238.79732802106093,239.12522530769812,690800
2024-04-08,242.6029052734375,242.77181930136476,241.27145458637938,242.14583219203345,539200
2024-04-09,242.57310485839844,243.38786755569987,240.71502017423273,243.2785684566313,803000
2024-04-10,238.4893035888672,240.4467413475191,237.39631265102375,237.74408662983154,1042500
2024-04-11,236.65109252929688,238.5489153316992,235.19046609618908,237.15783459653682,886500
2024-04-12,233.08399963378906,237.1777200400041,232.50769668587407,235.9456376754421,896500
2024-04-15,230.60986328125,235.92575020250018,230.40121102777118,235.8661352729348,766400
2024-04-16,229.95407104492188,232.10029949971786,229.69573462704886,230.52044320444207,757200
2024-04-17,229.04989624023438,231.0271955993127,228.6126998508467,230.63968337444243,777400
2024-04-18,232.4977569580078,234.46512545508972,231.54387259372342,231.54387259372342,980300
2024-04-19,235.06130981445312,235.25008537606837,232.34870915339528,233.60068335433826,984300
2024-04-22,236.0052490234375,238.4992363423067,235.9158114648855,236.83988838575092,707100
2024-04-23,236.35301208496094,237.59504038264788,235.82639329965994,236.92931503446508,620900
2024-04-24,235.29977416992188,236.48218753342553,234.06769180376605,236.0052529130258,655700
2024-04-25,235.4388885498047,236.05494491481554,232.59712710804354,234.81291657770802,880500
2024-04-26,232.6169891357422,237.17771326320602,230.86821880552026,235.43887370092227,1404200
2024-04-29,232.06056213378906,232.82565578387607,230.78872641393096,232.29902185533888,787300
2024-04-30,233.19329833984375,233.67023295882825,231.09675397617914,232.48781959883323,644100
2024-05-01,237.27708435058594,239.4630510791791,232.83559003258915,232.97469659273204,897200
2024-05-02,237.01873779296875,240.0294283396925,236.1840984144108,236.90943869614725,1029400
2024-05-03,237.19760131835938,237.96269500761318,233.59074623049847,235.64755240302432,545100
2024-05-06,241.46022033691406,241.49997373097426,237.416184276247,238.90661816247626,536900
