Price,Close,High,Low,Open,Volume
Ticker,ATGL,ATGL,ATGL,ATGL,ATGL
Date,,,,,
2024-02-26,5.644999980926514,6.369999885559082,5.599999904632568,6.099999904632568,27500
2024-02-27,5.570000171661377,5.960000038146973,5.079999923706055,5.920000076293945,9000
2024-02-28,5.119999885559082,5.539999961853027,5.119999885559082,5.400000095367432,11300
2024-02-29,4.679999828338623,5.110000133514404,4.599999904632568,5.050000190734863,14200
2024-03-01,4.510000228881836,5.380000114440918,4.300000190734863,5.190000057220459,28300
2024-03-04,4.46999979019165,4.949999809265137,4.420000076293945,4.949999809265137,10100
2024-03-05,4.119999885559082,4.599999904632568,4.119999885559082,4.389999866485596,8700
2024-03-06,4.329999923706055,4.409999847412109,4.010000228881836,4.010000228881836,9800
2024-03-07,4.199999809265137,4.419000148773193,4.110000133514404,4.21999979019165,11000
2024-03-08,4.099999904632568,4.199999809265137,4.03000020980835,4.199999809265137,5900
2024-03-11,3.9000000953674316,4.223999977111816,3.9000000953674316,4.2220001220703125,13600
2024-03-12,4.199999809265137,4.440000057220459,3.805000066757202,4.039999961853027,17200
2024-03-13,4.150000095367432,4.599999904632568,4.03000020980835,4.309999942779541,19300
2024-03-14,4.0,4.295000076293945,3.9000000953674316,4.289999961853027,12700
2024-03-15,3.809999942779541,4.25,3.674999952316284,4.03000020980835,5900
2024-03-18,3.5899999141693115,3.8949999809265137,3.5899999141693115,3.799999952316284,6600
2024-03-19,3.7360000610351562,3.7360000610351562,3.3299999237060547,3.5899999141693115,9300
2024-03-20,3.6700000762939453,3.799999952316284,3.380000114440918,3.390000104904175,12200
2024-03-21,3.509999990463257,3.759999990463257,3.4800000190734863,3.700000047683716,15700
2024-03-22,3.390000104904175,3.75,3.359999895095825,3.4700000286102295,8800
2024-03-25,3.309999942779541,3.690000057220459,3.0399999618530273,3.4700000286102295,14700
2024-03-26,3.1500000953674316,3.3299999237060547,3.0,3.0,8800
2024-03-27,2.890000104904175,3.299999952316284,2.890000104904175,3.299999952316284,7600
2024-03-28,2.990000009536743,3.4030001163482666,2.6700000762939453,2.9000000953674316,19900
2024-04-01,2.859999895095825,3.4700000286102295,2.799999952316284,3.390000104904175,17700
2024-04-02,3.0759999752044678,3.367000102996826,2.927000045776367,3.0399999618530273,16800
2024-04-03,3.009999990463257,3.200000047683716,2.9100000858306885,3.130000114440918,10300
2024-04-04,2.890000104904175,2.990000009536743,2.859999895095825,2.890000104904175,6100
2024-04-05,2.859999895095825,3.2179999351501465,2.859999895095825,3.1050000190734863,11500
2024-04-08,2.700000047683716,2.821000099182129,2.700000047683716,2.7200000286102295,7900
2024-04-09,2.7100000381469727,2.8399999141693115,2.384999990463257,2.7200000286102295,13400
2024-04-10,2.5299999713897705,2.75,2.5299999713897705,2.75,4200
2024-04-11,2.259999990463257,2.5739998817443848,2.259999990463257,2.565000057220459,5800
2024-04-12,2.359999895095825,2.5299999713897705,2.3399999141693115,2.4100000858306885,13800
2024-04-15,2.3299999237060547,2.4839999675750732,2.049999952316284,2.4600000381469727,6100
2024-04-16,2.380000114440918,2.4700000286102295,2.0199999809265137,2.200000047683716,18400
2024-04-17,2.2300000190734863,2.380000114440918,2.046999931335449,2.2300000190734863,6200
2024-04-18,2.1600000858306885,2.299999952316284,2.1600000858306885,2.2049999237060547,2800
2024-04-19,1.9559999704360962,2.1500000953674316,1.7000000476837158,2.0899999141693115,5400
2024-04-22,2.859999895095825,3.440000057220459,1.9600000381469727,1.9600000381469727,185100
2024-04-23,2.680000066757202,4.090000152587891,2.559999942779541,3.299999952316284,300600
2024-04-24,2.5999999046325684,2.809999942779541,2.1989998817443848,2.7699999809265137,24100
2024-04-25,2.799999952316284,2.799999952316284,2.3910000324249268,2.4100000858306885,9200
2024-04-26,2.819999933242798,3.0,2.630000114440918,2.630000114440918,11100
2024-04-29,3.059999942779541,3.7899999618530273,2.4200000762939453,2.7309999465942383,94100
2024-04-30,3.140000104904175,3.4539999961853027,2.619999885559082,3.130000114440918,25100
2024-05-01,3.0,3.2899999618530273,3.0,3.2899999618530273,22000
2024-05-02,3.1600000858306885,3.190000057220459,2.8399999141693115,3.1600000858306885,3100
2024-05-03,3.259999990463257,3.4600000381469727,2.9800000190734863,3.240000009536743,13100
2024-05-06,3.450000047683716,3.5,3.200000047683716,3.3299999237060547,11100
2024-05-07,4.190000057220459,5.7170000076293945,3.3499999046325684,3.5199999809265137,474300
2024-05-08,4.130000114440918,4.349999904632568,3.7699999809265137,3.869999885559082,42400
2024-05-09,4.369999885559082,4.53000020980835,3.759999990463257,4.159999847412109,12000
2024-05-10,4.840000152587891,4.909999847412109,4.369999885559082,4.389999866485596,31200
2024-05-13,4.295000076293945,4.900000095367432,4.182000160217285,4.860000133514404,27100
2024-05-14,3.740000009536743,4.269000053405762,3.5309998989105225,3.880000114440918,21300
2024-05-15,3.950000047683716,4.340000152587891,3.559999942779541,3.759999990463257,16900
2024-05-16,4.320000171661377,4.340000152587891,3.8499999046325684,3.8499999046325684,16700
2024-05-17,3.9100000858306885,4.289000034332275,3.7799999713897705,4.034999847412109,6600
2024-05-20,3.7300000190734863,4.099999904632568,3.7300000190734863,4.099999904632568,1900
2024-05-21,3.940000057220459,4.105000019073486,3.75,3.75,9500
2024-05-22,3.859999895095825,4.099999904632568,3.8499999046325684,3.9600000381469727,6800
2024-05-23,3.5799999237060547,4.5,3.503999948501587,3.9049999713897705,46100
2024-05-24,3.8399999141693115,4.199999809265137,3.5,3.5,21800
2024-05-28,3.75,3.944999933242798,3.6730000972747803,3.6730000972747803,5300
2024-05-29,3.819999933242798,3.930000066757202,3.75,3.930000066757202,3700
2024-05-30,3.9200000762939453,4.0,3.7699999809265137,3.8299999237060547,1600
2024-05-31,3.9730000495910645,3.994999885559082,3.819999933242798,3.990000009536743,4100
2024-06-03,3.990000009536743,3.990000009536743,3.7799999713897705,3.9690001010894775,2500
2024-06-04,2.8499999046325684,4.289999961853027,2.8499999046325684,3.880000114440918,103300
2024-06-05,3.069999933242798,3.5299999713897705,2.5999999046325684,3.0,48400
2024-06-06,3.119999885559082,3.180000066757202,2.869999885559082,3.1700000762939453,10800
2024-06-07,3.0739998817443848,3.140000104904175,2.9600000381469727,3.140000104904175,1400
2024-06-10,2.9809999465942383,3.0399999618530273,2.7100000381469727,3.0399999618530273,8000
2024-06-11,2.890000104904175,2.9800000190734863,2.75,2.9800000190734863,5900
2024-06-12,2.9700000286102295,2.9809999465942383,2.890000104904175,2.9809999465942383,2800
2024-06-13,2.953000068664551,2.990000009536743,2.9200000762939453,2.9200000762939453,1100
2024-06-14,2.869999885559082,2.884000062942505,2.8499999046325684,2.884000062942505,1100
2024-06-17,2.9600000381469727,2.9600000381469727,2.7899999618530273,2.7899999618530273,400
2024-06-18,2.9700000286102295,3.0,2.7200000286102295,3.0,3400
2024-06-20,2.859999895095825,2.9570000171661377,2.7200000286102295,2.950000047683716,6400
2024-06-21,2.76200008392334,2.9600000381469727,2.7200000286102295,2.9600000381469727,3000
2024-06-24,2.759999990463257,2.9800000190734863,2.759999990463257,2.9800000190734863,700
2024-06-25,2.809999942779541,2.809999942779541,2.809999942779541,2.809999942779541,900
2024-06-26,2.809999942779541,2.809999942779541,2.809999942779541,2.809999942779541,0
2024-06-27,2.799999952316284,2.799999952316284,2.7899999618530273,2.7899999618530273,700
2024-06-28,2.7699999809265137,2.7699999809265137,2.7699999809265137,2.7699999809265137,500
2024-07-01,2.5299999713897705,2.700000047683716,2.430000066757202,2.690000057220459,6000
2024-07-02,2.640000104904175,2.640000104904175,2.4100000858306885,2.619999885559082,2900
2024-07-03,2.640000104904175,2.640000104904175,2.640000104904175,2.640000104904175,2000
2024-07-05,2.7049999237060547,2.869999885559082,2.4100000858306885,2.5450000762939453,3100
2024-07-08,2.799999952316284,2.799999952316284,2.5999999046325684,2.5999999046325684,1500
2024-07-09,2.7149999141693115,2.7149999141693115,2.5199999809265137,2.5999999046325684,900
2024-07-10,2.609999895095825,2.9700000286102295,2.549999952316284,2.549999952316284,4500
2024-07-11,2.609999895095825,2.609999895095825,2.609999895095825,2.609999895095825,400
2024-07-12,2.9700000286102295,2.9700000286102295,2.878000020980835,2.878000020980835,3600
2024-07-15,2.8399999141693115,2.9800000190734863,2.739000082015991,2.9800000190734863,2400
2024-07-16,4.179999828338623,4.570000171661377,2.9700000286102295,3.1600000858306885,923800
2024-07-17,4.349999904632568,4.375,3.8499999046325684,4.199999809265137,60400
2024-07-18,4.079999923706055,4.440000057220459,3.950000047683716,4.090000152587891,16500
2024-07-19,3.700000047683716,4.829999923706055,3.5199999809265137,4.289999961853027,53200
2024-07-22,3.6500000953674316,4.138000011444092,3.2200000286102295,3.799999952316284,25400
2024-07-23,3.690000057220459,3.990000009536743,3.569999933242798,3.9700000286102295,2500
2024-07-24,3.490000009536743,3.549999952316284,3.2100000381469727,3.2100000381469727,2700
2024-07-25,3.5399999618530273,3.740000009536743,3.390000104904175,3.390000104904175,9400
2024-07-26,3.4800000190734863,3.940000057220459,3.4700000286102295,3.940000057220459,7400
2024-07-29,3.450000047683716,3.640000104904175,3.380000114440918,3.640000104904175,4800
2024-07-30,3.509999990463257,3.509999990463257,3.2699999809265137,3.2699999809265137,2400
2024-07-31,3.1700000762939453,3.490000009536743,3.0929999351501465,3.490000009536743,3300
2024-08-01,3.119999885559082,3.2799999713897705,3.059999942779541,3.059999942779541,1500
2024-08-02,3.309999942779541,3.309999942779541,3.119999885559082,3.119999885559082,3300
2024-08-05,3.299999952316284,3.299999952316284,3.299999952316284,3.299999952316284,300
2024-08-06,3.140000104904175,3.309999942779541,3.009999990463257,3.309999942779541,2300
2024-08-07,3.25,3.4100000858306885,3.25,3.3299999237060547,2500
2024-08-08,3.0320000648498535,3.313999891281128,3.01200008392334,3.313999891281128,6500
