Price,Close,High,Low,Open,Volume
Ticker,BEEM,BEEM,BEEM,BEEM,BEEM
Date,,,,,
2024-02-26,6.980000019073486,7.150000095367432,6.860000133514404,7.03000020980835,113900
2024-02-27,6.889999866485596,7.139999866485596,6.809999942779541,7.139999866485596,73600
2024-02-28,6.849999904632568,6.934999942779541,6.710000038146973,6.800000190734863,79500
2024-02-29,7.0,7.28000020980835,6.809999942779541,7.050000190734863,102100
2024-03-01,7.110000133514404,7.300000190734863,6.900000095367432,6.989999771118164,85100
2024-03-04,6.889999866485596,7.289999961853027,6.760000228881836,7.190000057220459,93000
2024-03-05,6.659999847412109,6.880000114440918,6.610000133514404,6.75,122400
2024-03-06,6.869999885559082,7.050000190734863,6.645999908447266,6.820000171661377,90700
2024-03-07,6.940000057220459,7.070000171661377,6.849999904632568,6.980000019073486,68600
2024-03-08,7.090000152587891,7.269999980926514,7.03000020980835,7.059999942779541,78200
2024-03-11,6.940000057220459,7.15500020980835,6.894999980926514,7.070000171661377,41000
2024-03-12,7.269999980926514,7.28000020980835,7.050000190734863,7.199999809265137,72100
2024-03-13,7.239999771118164,7.300000190734863,7.099999904632568,7.260000228881836,56300
2024-03-14,6.960000038146973,7.239999771118164,6.809999942779541,7.239999771118164,67100
2024-03-15,6.920000076293945,6.989999771118164,6.71999979019165,6.909999847412109,78700
2024-03-18,6.869999885559082,6.989999771118164,6.78000020980835,6.900000095367432,51400
2024-03-19,7.019999980926514,7.059999942779541,6.75,6.789999961853027,76400
2024-03-20,7.130000114440918,7.190000057220459,6.920000076293945,6.980000019073486,44000
2024-03-21,6.980000019073486,7.206999778747559,6.820000171661377,7.150000095367432,63800
2024-03-22,6.670000076293945,6.929999828338623,6.619999885559082,6.929999828338623,119700
2024-03-25,6.71999979019165,6.809999942779541,6.644999980926514,6.650000095367432,49400
2024-03-26,6.679999828338623,6.820000171661377,6.639999866485596,6.789999961853027,64500
2024-03-27,6.920000076293945,6.980000019073486,6.755000114440918,6.840000152587891,57500
2024-03-28,6.800000190734863,6.989999771118164,6.800000190734863,6.925000190734863,46400
2024-04-01,6.599999904632568,6.909999847412109,6.550000190734863,6.800000190734863,101400
2024-04-02,6.329999923706055,6.650000095367432,6.28000020980835,6.650000095367432,110800
2024-04-03,6.519999980926514,6.519999980926514,6.170000076293945,6.25,97800
2024-04-04,6.389999866485596,6.659999847412109,6.349999904632568,6.590000152587891,73200
