Price,Close,High,Low,Open,Volume
Ticker,CCO,CCO,CCO,CCO,CCO
Date,,,,,
2024-02-26,1.9800000190734863,2.059999942779541,1.8899999856948853,1.9900000095367432,3505000
2024-02-27,1.940000057220459,2.0299999713897705,1.9199999570846558,1.9800000190734863,1403200
2024-02-28,1.7000000476837158,1.9199999570846558,1.649999976158142,1.9199999570846558,2942800
2024-02-29,1.7200000286102295,1.7300000190734863,1.649999976158142,1.7200000286102295,2452500
2024-03-01,1.7899999618530273,1.8200000524520874,1.6699999570846558,1.7100000381469727,2468400
2024-03-04,1.7599999904632568,1.8200000524520874,1.75,1.809999942779541,1648100
2024-03-05,1.7200000286102295,1.7699999809265137,1.7000000476837158,1.75,1788300
2024-03-06,1.7599999904632568,1.8200000524520874,1.690000057220459,1.7400000095367432,2247700
2024-03-07,1.7400000095367432,1.809999942779541,1.7300000190734863,1.7899999618530273,1003200
2024-03-08,1.7899999618530273,1.8200000524520874,1.75,1.7599999904632568,1469500
2024-03-11,1.75,1.809999942779541,1.7300000190734863,1.7799999713897705,599600
2024-03-12,1.7200000286102295,1.7400000095367432,1.7000000476837158,1.7300000190734863,623700
2024-03-13,1.7000000476837158,1.7899999618530273,1.7000000476837158,1.7300000190734863,1396900
2024-03-14,1.6299999952316284,1.7100000381469727,1.600000023841858,1.7000000476837158,2430600
2024-03-15,1.559999942779541,1.649999976158142,1.5399999618530273,1.6100000143051147,4034600
2024-03-18,1.5499999523162842,1.659999966621399,1.5299999713897705,1.5499999523162842,4472400
2024-03-19,1.559999942779541,1.6299999952316284,1.5299999713897705,1.5499999523162842,4597400
2024-03-20,1.6299999952316284,1.6299999952316284,1.5499999523162842,1.5700000524520874,1674900
2024-03-21,1.5800000429153442,1.6399999856948853,1.5299999713897705,1.6100000143051147,4899600
2024-03-22,1.5800000429153442,1.6399999856948853,1.5299999713897705,1.600000023841858,3408200
2024-03-25,1.559999942779541,1.659999966621399,1.559999942779541,1.600000023841858,1309500
2024-03-26,1.5399999618530273,1.5800000429153442,1.5199999809265137,1.559999942779541,3256700
2024-03-27,1.649999976158142,1.649999976158142,1.5700000524520874,1.590000033378601,4086600
2024-03-28,1.649999976158142,1.7000000476837158,1.6299999952316284,1.659999966621399,1174400
2024-04-01,1.6100000143051147,1.649999976158142,1.6100000143051147,1.6399999856948853,1202600
2024-04-02,1.5700000524520874,1.5800000429153442,1.5399999618530273,1.5499999523162842,1364100
2024-04-03,1.6200000047683716,1.6299999952316284,1.5399999618530273,1.5399999618530273,1811100
2024-04-04,1.6799999475479126,1.7100000381469727,1.649999976158142,1.649999976158142,5510800
2024-04-05,1.6100000143051147,1.6799999475479126,1.6100000143051147,1.659999966621399,2196900
2024-04-08,1.649999976158142,1.690000057220459,1.600000023841858,1.600000023841858,1422400
2024-04-09,1.6399999856948853,1.7200000286102295,1.6200000047683716,1.659999966621399,1421700
2024-04-10,1.5399999618530273,1.600000023841858,1.5,1.600000023841858,6061400
2024-04-11,1.5700000524520874,1.600000023841858,1.5,1.559999942779541,4903100
2024-04-12,1.5199999809265137,1.5800000429153442,1.5099999904632568,1.5700000524520874,1643000
2024-04-15,1.4700000286102295,1.5700000524520874,1.4600000381469727,1.5399999618530273,2201900
2024-04-16,1.4600000381469727,1.5,1.399999976158142,1.5,1380400
2024-04-17,1.4299999475479126,1.4900000095367432,1.4199999570846558,1.4700000286102295,1198100
2024-04-18,1.440000057220459,1.4800000190734863,1.409999966621399,1.4199999570846558,1311900
2024-04-19,1.4900000095367432,1.5199999809265137,1.4299999475479126,1.4299999475479126,1777400
2024-04-22,1.4700000286102295,1.5099999904632568,1.4500000476837158,1.5,1383800
2024-04-23,1.5,1.5299999713897705,1.4700000286102295,1.4700000286102295,1135200
2024-04-24,1.440000057220459,1.5299999713897705,1.4299999475479126,1.5,1315100
2024-04-25,1.440000057220459,1.4600000381469727,1.3300000429153442,1.440000057220459,1568000
2024-04-26,1.440000057220459,1.4800000190734863,1.4299999475479126,1.440000057220459,552500
2024-04-29,1.440000057220459,1.4700000286102295,1.409999966621399,1.4500000476837158,616400
2024-04-30,1.3899999856948853,1.440000057220459,1.3799999952316284,1.440000057220459,4162600
2024-05-01,1.4500000476837158,1.5099999904632568,1.3899999856948853,1.409999966621399,996400
2024-05-02,1.5499999523162842,1.5700000524520874,1.4700000286102295,1.4900000095367432,2465100
2024-05-03,1.5,1.600000023841858,1.5,1.600000023841858,1472100
2024-05-06,1.5299999713897705,1.5399999618530273,1.5099999904632568,1.5199999809265137,845300
2024-05-07,1.559999942779541,1.5700000524520874,1.5199999809265137,1.5199999809265137,1480800
2024-05-08,1.5399999618530273,1.5800000429153442,1.5199999809265137,1.5499999523162842,1305300
2024-05-09,1.6100000143051147,1.6200000047683716,1.4600000381469727,1.5399999618530273,1667700
2024-05-10,1.5700000524520874,1.6299999952316284,1.5700000524520874,1.590000033378601,1643400
2024-05-13,1.5399999618530273,1.6200000047683716,1.5299999713897705,1.600000023841858,1273200
2024-05-14,1.559999942779541,1.590000033378601,1.5299999713897705,1.5399999618530273,1247100
2024-05-15,1.559999942779541,1.5800000429153442,1.5499999523162842,1.5499999523162842,769900
2024-05-16,1.5700000524520874,1.5800000429153442,1.4800000190734863,1.5099999904632568,1218500
2024-05-17,1.5499999523162842,1.5800000429153442,1.5499999523162842,1.5700000524520874,878100
2024-05-20,1.5499999523162842,1.5800000429153442,1.5499999523162842,1.5499999523162842,1381500
2024-05-21,1.5399999618530273,1.559999942779541,1.4600000381469727,1.559999942779541,3491400
2024-05-22,1.5099999904632568,1.5399999618530273,1.5,1.5299999713897705,1360800
2024-05-23,1.4700000286102295,1.5399999618530273,1.4700000286102295,1.5199999809265137,1590600
2024-05-24,1.4299999475479126,1.5199999809265137,1.4299999475479126,1.5,895900
2024-05-28,1.440000057220459,1.4700000286102295,1.4199999570846558,1.4500000476837158,1498100
2024-05-29,1.4199999570846558,1.4299999475479126,1.340000033378601,1.3899999856948853,1658800
2024-05-30,1.4299999475479126,1.4700000286102295,1.4299999475479126,1.440000057220459,885900
2024-05-31,1.440000057220459,1.4800000190734863,1.4299999475479126,1.440000057220459,2018600
2024-06-03,1.440000057220459,1.4900000095367432,1.4299999475479126,1.4700000286102295,1390800
2024-06-04,1.399999976158142,1.440000057220459,1.3600000143051147,1.409999966621399,1616200
2024-06-05,1.440000057220459,1.440000057220459,1.3899999856948853,1.399999976158142,1410000
2024-06-06,1.3700000047683716,1.4199999570846558,1.3600000143051147,1.4199999570846558,6137000
2024-06-07,1.3799999952316284,1.409999966621399,1.3300000429153442,1.350000023841858,1821900
2024-06-10,1.3799999952316284,1.399999976158142,1.350000023841858,1.350000023841858,696500
2024-06-11,1.3899999856948853,1.399999976158142,1.350000023841858,1.350000023841858,903000
2024-06-12,1.399999976158142,1.4700000286102295,1.399999976158142,1.440000057220459,1033200
2024-06-13,1.3899999856948853,1.4299999475479126,1.3700000047683716,1.399999976158142,999800
2024-06-14,1.3700000047683716,1.3899999856948853,1.350000023841858,1.3700000047683716,1528800
2024-06-17,1.3799999952316284,1.3899999856948853,1.3600000143051147,1.3600000143051147,860500
2024-06-18,1.3799999952316284,1.3899999856948853,1.3600000143051147,1.3700000047683716,1102500
2024-06-20,1.3799999952316284,1.3899999856948853,1.3600000143051147,1.3600000143051147,1534000
2024-06-21,1.3300000429153442,1.3799999952316284,1.3300000429153442,1.3799999952316284,4994500
2024-06-24,1.3300000429153442,1.3600000143051147,1.309999942779541,1.340000033378601,1186900
2024-06-25,1.3200000524520874,1.340000033378601,1.309999942779541,1.340000033378601,1183100
2024-06-26,1.3300000429153442,1.350000023841858,1.2899999618530273,1.3200000524520874,1311600
2024-06-27,1.3700000047683716,1.3899999856948853,1.3200000524520874,1.3300000429153442,3430300
2024-06-28,1.409999966621399,1.4299999475479126,1.3899999856948853,1.399999976158142,7031000
2024-07-01,1.4299999475479126,1.440000057220459,1.3899999856948853,1.409999966621399,1238700
2024-07-02,1.559999942779541,1.5700000524520874,1.4500000476837158,1.4500000476837158,2170000
2024-07-03,1.5800000429153442,1.6100000143051147,1.5499999523162842,1.5800000429153442,744600
2024-07-05,1.5700000524520874,1.590000033378601,1.5299999713897705,1.5700000524520874,1125600
2024-07-08,1.5700000524520874,1.600000023841858,1.559999942779541,1.600000023841858,774400
2024-07-09,1.559999942779541,1.5700000524520874,1.5399999618530273,1.559999942779541,776000
2024-07-10,1.5700000524520874,1.5800000429153442,1.5299999713897705,1.5800000429153442,980600
2024-07-11,1.6799999475479126,1.7000000476837158,1.5800000429153442,1.5800000429153442,2954800
2024-07-12,1.7200000286102295,1.7200000286102295,1.690000057220459,1.7000000476837158,1948200
2024-07-15,1.7999999523162842,1.8200000524520874,1.7300000190734863,1.75,2295400
2024-07-16,1.840000033378601,1.8799999952316284,1.7799999713897705,1.8300000429153442,2811700
2024-07-17,1.75,1.8300000429153442,1.7400000095367432,1.8200000524520874,3155100
2024-07-18,1.6699999570846558,1.7599999904632568,1.6399999856948853,1.7400000095367432,4281700
2024-07-19,1.6799999475479126,1.7100000381469727,1.659999966621399,1.6699999570846558,2090200
2024-07-22,1.690000057220459,1.7400000095367432,1.659999966621399,1.7100000381469727,2738300
2024-07-23,1.6699999570846558,1.7300000190734863,1.6699999570846558,1.690000057220459,2905700
2024-07-24,1.6799999475479126,1.7100000381469727,1.6699999570846558,1.6799999475479126,1664400
2024-07-25,1.6399999856948853,1.7100000381469727,1.6299999952316284,1.6799999475479126,1845300
2024-07-26,1.649999976158142,1.6699999570846558,1.6200000047683716,1.6699999570846558,1323500
2024-07-29,1.659999966621399,1.7000000476837158,1.6299999952316284,1.659999966621399,1234500
2024-07-30,1.6799999475479126,1.7000000476837158,1.6299999952316284,1.6799999475479126,2587800
2024-07-31,1.659999966621399,1.7400000095367432,1.649999976158142,1.6799999475479126,2843900
2024-08-01,1.5299999713897705,1.6699999570846558,1.5199999809265137,1.6399999856948853,3185500
2024-08-02,1.4500000476837158,1.5099999904632568,1.4299999475479126,1.4900000095367432,1825500
2024-08-05,1.3899999856948853,1.409999966621399,1.350000023841858,1.3899999856948853,4739200
2024-08-06,1.4199999570846558,1.440000057220459,1.3799999952316284,1.3899999856948853,1848400
2024-08-07,1.3899999856948853,1.4900000095367432,1.309999942779541,1.309999942779541,3765500
2024-08-08,1.350000023841858,1.4500000476837158,1.3200000524520874,1.3899999856948853,1606300
2024-08-09,1.340000033378601,1.350000023841858,1.3300000429153442,1.340000033378601,1671800
2024-08-12,1.3200000524520874,1.3799999952316284,1.2999999523162842,1.350000023841858,1667700
2024-08-13,1.409999966621399,1.4299999475479126,1.340000033378601,1.340000033378601,1929700
2024-08-14,1.399999976158142,1.4700000286102295,1.3799999952316284,1.4199999570846558,1970900
2024-08-15,1.4500000476837158,1.4800000190734863,1.4199999570846558,1.4500000476837158,1091800
2024-08-16,1.440000057220459,1.4800000190734863,1.3899999856948853,1.4700000286102295,937000
2024-08-19,1.4600000381469727,1.4700000286102295,1.4299999475479126,1.4299999475479126,544800
2024-08-20,1.4500000476837158,1.4900000095367432,1.4500000476837158,1.4700000286102295,2031800
2024-08-21,1.4500000476837158,1.4700000286102295,1.409999966621399,1.4600000381469727,1137000
2024-08-22,1.3899999856948853,1.4600000381469727,1.3799999952316284,1.4500000476837158,1038600
2024-08-23,1.4800000190734863,1.4900000095367432,1.399999976158142,1.4199999570846558,2054500
2024-08-26,1.5499999523162842,1.5499999523162842,1.4500000476837158,1.4700000286102295,1929300
2024-08-27,1.5,1.5299999713897705,1.4700000286102295,1.5299999713897705,935100
2024-08-28,1.4600000381469727,1.5099999904632568,1.4600000381469727,1.5,1468600
2024-08-29,1.5,1.5099999904632568,1.4700000286102295,1.4900000095367432,580300
2024-08-30,1.5,1.5,1.4800000190734863,1.4900000095367432,722200
2024-09-03,1.4900000095367432,1.5,1.4299999475479126,1.4900000095367432,1343900
2024-09-04,1.4500000476837158,1.5199999809265137,1.4299999475479126,1.5,968600
2024-09-05,1.5499999523162842,1.559999942779541,1.4500000476837158,1.4500000476837158,2481100
2024-09-06,1.5,1.5800000429153442,1.4800000190734863,1.5700000524520874,1497100
2024-09-09,1.5499999523162842,1.559999942779541,1.4800000190734863,1.4900000095367432,1085600
2024-09-10,1.5499999523162842,1.559999942779541,1.4900000095367432,1.5199999809265137,565100
2024-09-11,1.5399999618530273,1.5499999523162842,1.5,1.5299999713897705,1558300
2024-09-12,1.6299999952316284,1.6399999856948853,1.5299999713897705,1.559999942779541,2515200
2024-09-13,1.690000057220459,1.7200000286102295,1.6100000143051147,1.6299999952316284,1795300
2024-09-16,1.7000000476837158,1.7200000286102295,1.659999966621399,1.7100000381469727,1250100
2024-09-17,1.7100000381469727,1.7300000190734863,1.659999966621399,1.7200000286102295,1622700
2024-09-18,1.7100000381469727,1.7699999809265137,1.659999966621399,1.7200000286102295,1480800
2024-09-19,1.7100000381469727,1.7300000190734863,1.6399999856948853,1.7000000476837158,1940600
2024-09-20,1.649999976158142,1.7300000190734863,1.649999976158142,1.6799999475479126,7458300
2024-09-23,1.659999966621399,1.7100000381469727,1.659999966621399,1.6699999570846558,1707300
2024-09-24,1.6399999856948853,1.6799999475479126,1.6200000047683716,1.659999966621399,1383600
2024-09-25,1.5800000429153442,1.649999976158142,1.5800000429153442,1.649999976158142,1117100
2024-09-26,1.590000033378601,1.6200000047683716,1.559999942779541,1.6100000143051147,1619300
2024-09-27,1.600000023841858,1.6200000047683716,1.5800000429153442,1.600000023841858,1173000
2024-09-30,1.600000023841858,1.6100000143051147,1.590000033378601,1.600000023841858,1847300
2024-10-01,1.5299999713897705,1.600000023841858,1.5199999809265137,1.600000023841858,1311300
2024-10-02,1.559999942779541,1.6200000047683716,1.5,1.5099999904632568,1778000
2024-10-03,1.5,1.5700000524520874,1.5,1.5299999713897705,883400
2024-10-04,1.6100000143051147,1.6200000047683716,1.5399999618530273,1.5399999618530273,2732800
2024-10-07,1.5,1.6299999952316284,1.4700000286102295,1.6100000143051147,1266300
2024-10-08,1.5199999809265137,1.5399999618530273,1.5,1.5,895200
2024-10-09,1.5199999809265137,1.5399999618530273,1.5099999904632568,1.5199999809265137,665700
2024-10-10,1.5,1.5099999904632568,1.4800000190734863,1.4900000095367432,821400
2024-10-11,1.590000033378601,1.6100000143051147,1.5,1.5,3919800
2024-10-14,1.5499999523162842,1.6100000143051147,1.5499999523162842,1.6100000143051147,531700
2024-10-15,1.5700000524520874,1.600000023841858,1.5299999713897705,1.5299999713897705,752300
2024-10-16,1.590000033378601,1.600000023841858,1.559999942779541,1.590000033378601,649800
2024-10-17,1.5800000429153442,1.600000023841858,1.5499999523162842,1.600000023841858,438800
2024-10-18,1.5800000429153442,1.6100000143051147,1.5499999523162842,1.600000023841858,701200
2024-10-21,1.5499999523162842,1.590000033378601,1.5399999618530273,1.5700000524520874,1199600
2024-10-22,1.5299999713897705,1.559999942779541,1.5199999809265137,1.559999942779541,881700
2024-10-23,1.590000033378601,1.6200000047683716,1.5199999809265137,1.5199999809265137,1591200
2024-10-24,1.6100000143051147,1.6200000047683716,1.5700000524520874,1.600000023841858,692900
2024-10-25,1.6200000047683716,1.649999976158142,1.600000023841858,1.6200000047683716,781900
2024-10-28,1.5700000524520874,1.649999976158142,1.559999942779541,1.6399999856948853,657600
2024-10-29,1.5399999618530273,1.5800000429153442,1.5099999904632568,1.559999942779541,706000
2024-10-30,1.5,1.5499999523162842,1.4900000095367432,1.5299999713897705,947600
2024-10-31,1.4700000286102295,1.5099999904632568,1.350000023841858,1.4800000190734863,3245400
2024-11-01,1.4500000476837158,1.5099999904632568,1.3700000047683716,1.4800000190734863,2537300
2024-11-04,1.409999966621399,1.4700000286102295,1.399999976158142,1.4299999475479126,1428300
2024-11-05,1.4600000381469727,1.4900000095367432,1.4299999475479126,1.4900000095367432,2289300
2024-11-06,1.6299999952316284,1.649999976158142,1.5199999809265137,1.5800000429153442,6547200
2024-11-07,1.600000023841858,1.690000057220459,1.590000033378601,1.6399999856948853,1755200
2024-11-08,1.5800000429153442,1.600000023841858,1.5299999713897705,1.600000023841858,925800
2024-11-11,1.6200000047683716,1.6299999952316284,1.5700000524520874,1.600000023841858,798800
2024-11-12,1.6299999952316284,1.649999976158142,1.590000033378601,1.600000023841858,2416600
2024-11-13,1.6399999856948853,1.6799999475479126,1.6100000143051147,1.6399999856948853,945000
2024-11-14,1.6399999856948853,1.649999976158142,1.6100000143051147,1.6200000047683716,1327900
2024-11-15,1.5700000524520874,1.649999976158142,1.559999942779541,1.649999976158142,1118000
2024-11-18,1.5399999618530273,1.559999942779541,1.5199999809265137,1.559999942779541,759600
2024-11-19,1.559999942779541,1.5700000524520874,1.5199999809265137,1.5199999809265137,604000
2024-11-20,1.559999942779541,1.5700000524520874,1.5299999713897705,1.559999942779541,550600
2024-11-21,1.590000033378601,1.6299999952316284,1.559999942779541,1.559999942779541,1592800
2024-11-22,1.5800000429153442,1.600000023841858,1.5499999523162842,1.590000033378601,737800
2024-11-25,1.590000033378601,1.6200000047683716,1.5800000429153442,1.590000033378601,1261500
2024-11-26,1.5700000524520874,1.590000033378601,1.5499999523162842,1.5700000524520874,1588400
2024-11-27,1.559999942779541,1.590000033378601,1.559999942779541,1.590000033378601,1351400
2024-11-29,1.5099999904632568,1.5700000524520874,1.5099999904632568,1.559999942779541,481500
2024-12-02,1.5700000524520874,1.5800000429153442,1.4900000095367432,1.5,1100000
2024-12-03,1.559999942779541,1.590000033378601,1.5499999523162842,1.590000033378601,662000
2024-12-04,1.5700000524520874,1.590000033378601,1.5499999523162842,1.5499999523162842,1086300
2024-12-05,1.5499999523162842,1.5700000524520874,1.5499999523162842,1.5700000524520874,628300
2024-12-06,1.559999942779541,1.5700000524520874,1.5299999713897705,1.5700000524520874,916200
2024-12-09,1.5499999523162842,1.5800000429153442,1.5399999618530273,1.5499999523162842,1163600
2024-12-10,1.5499999523162842,1.559999942779541,1.5299999713897705,1.5499999523162842,984300
2024-12-11,1.5399999618530273,1.5800000429153442,1.5199999809265137,1.5499999523162842,1107100
2024-12-12,1.5,1.5299999713897705,1.5,1.5199999809265137,770400
2024-12-13,1.5,1.5199999809265137,1.4800000190734863,1.5,727800
2024-12-16,1.4900000095367432,1.5199999809265137,1.4700000286102295,1.5,1872000
2024-12-17,1.4500000476837158,1.5,1.440000057220459,1.4800000190734863,1481500
2024-12-18,1.3799999952316284,1.4900000095367432,1.3700000047683716,1.4600000381469727,2165500
2024-12-19,1.399999976158142,1.4299999475479126,1.3799999952316284,1.4199999570846558,2579500
2024-12-20,1.3799999952316284,1.4600000381469727,1.3700000047683716,1.3899999856948853,6664600
2024-12-23,1.3799999952316284,1.4199999570846558,1.3600000143051147,1.3899999856948853,1141400
2024-12-24,1.3899999856948853,1.399999976158142,1.3600000143051147,1.3600000143051147,451900
2024-12-26,1.3799999952316284,1.3899999856948853,1.3700000047683716,1.3899999856948853,811100
2024-12-27,1.350000023841858,1.3899999856948853,1.340000033378601,1.3799999952316284,1052900
2024-12-30,1.399999976158142,1.4299999475479126,1.3300000429153442,1.340000033378601,1173100
2024-12-31,1.3700000047683716,1.4299999475479126,1.350000023841858,1.399999976158142,970500
2025-01-02,1.399999976158142,1.440000057220459,1.3799999952316284,1.3799999952316284,1283300
2025-01-03,1.4700000286102295,1.4800000190734863,1.399999976158142,1.409999966621399,1057700
2025-01-06,1.4700000286102295,1.5099999904632568,1.4700000286102295,1.4700000286102295,833600
2025-01-07,1.440000057220459,1.4900000095367432,1.4299999475479126,1.4700000286102295,1211000
2025-01-08,1.3899999856948853,1.4500000476837158,1.3700000047683716,1.4299999475479126,1077500
2025-01-10,1.4299999475479126,1.4600000381469727,1.3799999952316284,1.440000057220459,2136600
2025-01-13,1.4500000476837158,1.4700000286102295,1.399999976158142,1.409999966621399,774100
2025-01-14,1.440000057220459,1.4800000190734863,1.4299999475479126,1.4500000476837158,854200
2025-01-15,1.5199999809265137,1.5399999618530273,1.4700000286102295,1.4800000190734863,2714500
2025-01-16,1.4600000381469727,1.5199999809265137,1.4500000476837158,1.5099999904632568,748900
2025-01-17,1.4900000095367432,1.5099999904632568,1.4800000190734863,1.4900000095367432,886500
2025-01-21,1.4500000476837158,1.5,1.4500000476837158,1.4900000095367432,453200
2025-01-22,1.399999976158142,1.4800000190734863,1.3899999856948853,1.4500000476837158,826300
2025-01-23,1.4199999570846558,1.440000057220459,1.340000033378601,1.340000033378601,975700
2025-01-24,1.4299999475479126,1.4600000381469727,1.4199999570846558,1.4199999570846558,1094300
2025-01-27,1.440000057220459,1.4600000381469727,1.399999976158142,1.399999976158142,1286400
2025-01-28,1.4199999570846558,1.4700000286102295,1.409999966621399,1.4500000476837158,632700
2025-01-29,1.399999976158142,1.440000057220459,1.3799999952316284,1.440000057220459,944600
2025-01-30,1.399999976158142,1.4199999570846558,1.3700000047683716,1.409999966621399,699900
2025-01-31,1.3600000143051147,1.409999966621399,1.350000023841858,1.409999966621399,923600
2025-02-03,1.350000023841858,1.409999966621399,1.3200000524520874,1.350000023841858,1376700
2025-02-04,1.3799999952316284,1.3899999856948853,1.3200000524520874,1.3300000429153442,712500
2025-02-05,1.3600000143051147,1.3799999952316284,1.350000023841858,1.3799999952316284,827500
2025-02-06,1.3600000143051147,1.3899999856948853,1.340000033378601,1.3799999952316284,755900
2025-02-07,1.3600000143051147,1.3700000047683716,1.350000023841858,1.3600000143051147,707200
2025-02-10,1.3700000047683716,1.399999976158142,1.3700000047683716,1.3700000047683716,567800
2025-02-11,1.3700000047683716,1.3899999856948853,1.340000033378601,1.3700000047683716,590700
2025-02-12,1.340000033378601,1.3600000143051147,1.3300000429153442,1.350000023841858,852800
2025-02-13,1.4500000476837158,1.4700000286102295,1.3300000429153442,1.350000023841858,1799100
2025-02-14,1.3899999856948853,1.4500000476837158,1.3700000047683716,1.440000057220459,921100
2025-02-18,1.4199999570846558,1.5199999809265137,1.3799999952316284,1.3899999856948853,2530700
2025-02-19,1.4299999475479126,1.4500000476837158,1.399999976158142,1.440000057220459,694200
2025-02-20,1.399999976158142,1.4500000476837158,1.3899999856948853,1.440000057220459,1113600
2025-02-21,1.350000023841858,1.4299999475479126,1.350000023841858,1.4299999475479126,1337800
2025-02-24,1.3450000286102295,1.409999966621399,1.3250000476837158,1.340000033378601,584997
