Price,Close,High,Low,Open,Volume
Ticker,CERO,CERO,CERO,CERO,CERO
Date,,,,,
2024-02-26,316.0,373.0,304.5,340.0,149
2024-02-27,325.0,325.0,306.0,310.0,49
2024-02-28,292.0,317.70001220703125,281.0,312.6000061035156,87
2024-02-29,295.5,295.5,280.0,280.0,13
2024-03-01,296.0,336.0,271.0,336.0,96
2024-03-04,258.0,297.5,245.0,285.0,108
2024-03-05,260.0,287.79998779296875,255.0,255.0,47
2024-03-06,255.0,280.0,255.0,263.0,17
2024-03-07,308.0,1095.0,286.0,1095.0,172839
2024-03-08,395.0,450.0,333.0,445.0,118922
2024-03-11,290.0,345.0,281.0,333.0,13378
2024-03-12,266.0,325.0,254.0,277.0,6842
2024-03-13,241.0,267.0,239.0,258.0,3619
2024-03-14,224.0,249.0,212.5,242.0,1943
2024-03-15,215.0,224.0,200.0,214.0,2612
2024-03-18,210.0,215.0,200.0,205.0,1697
2024-03-19,240.0,276.0,202.0,218.0,5132
2024-03-20,217.8000030517578,240.0,216.0,223.0,2850
2024-03-21,217.0,224.0,206.0,206.0,1606
2024-03-22,206.0,220.0,205.0,220.0,1308
2024-03-25,177.0,210.0,174.0,208.0,2436
2024-03-26,172.0,185.0,155.0,176.0,1217
2024-03-27,163.0,171.8000030517578,162.0,165.0,746
2024-03-28,307.0,334.0,162.0,162.0,240830
2024-04-01,277.0,376.0,244.10000610351562,292.0,53129
2024-04-02,221.0,255.0,207.0,239.0,7035
2024-04-03,200.0,223.0,181.0,210.0,5032
2024-04-04,194.0,203.0,187.0,193.0,1559
2024-04-05,174.0,197.0,170.0,186.0,4041
2024-04-08,191.0,196.0,175.0,196.0,4853
2024-04-09,209.0,213.0,187.0,192.0,6807
2024-04-10,196.0,210.0,185.0,208.0,1772
2024-04-11,187.0,196.0,183.0,184.0,1731
2024-04-12,178.0,194.0,173.0,187.5,1075
2024-04-15,175.0,185.0,173.0,176.0,1079
2024-04-16,181.0,184.0,172.0,184.0,796
2024-04-17,166.0,178.0,165.0,178.0,608
2024-04-18,154.0,172.0,153.0,170.0,1300
2024-04-19,150.0,158.0,141.0,152.0,743
2024-04-22,142.0,151.5,140.0,148.0,924
2024-04-23,135.0,142.0,133.0,140.0,1088
2024-04-24,145.60000610351562,149.1999969482422,135.0,136.0,2658
2024-04-25,141.0,150.0,140.0,144.0,832
2024-04-26,137.0,147.0,137.0,142.0,943
2024-04-29,139.0,140.0,134.0,135.0,432
2024-04-30,139.0,171.0,137.0,148.0,6167
2024-05-01,138.0,147.0,137.0,142.0,994
2024-05-02,138.0,143.0,135.0,139.0,649
2024-05-03,138.0,143.0,135.0,136.0,461
2024-05-06,135.0,142.0,130.1999969482422,135.0,503
2024-05-07,130.0,138.0,124.0,130.0,354
2024-05-08,123.0,130.5,121.0,126.0,676
2024-05-09,115.0,126.0999984741211,113.0,121.0,870
2024-05-10,119.0,123.0,115.0,119.0,347
2024-05-13,116.0,120.0,113.0,120.0,509
2024-05-14,113.5999984741211,120.0,110.0,111.0,1071
2024-05-15,115.4000015258789,118.0,112.0,118.0,238
2024-05-16,113.0,116.5,111.0,115.0,308
2024-05-17,110.0,117.0,108.0,112.0,617
2024-05-20,106.0,110.0,103.0,110.0,640
2024-05-21,103.0,108.0,101.0,104.0,471
2024-05-22,99.0,105.0,97.0,103.0,621
2024-05-23,94.0,103.0,93.80000305175781,97.5,808
2024-05-24,91.80000305175781,96.0,87.0,93.0,645
2024-05-28,106.0,109.0,94.0,95.0,1396
2024-05-29,97.30000305175781,108.0,97.30000305175781,102.0,564
2024-05-30,96.0,104.0,95.0,104.0,169
2024-05-31,93.0,100.0,91.0999984741211,100.0,547
2024-06-03,92.5,96.0,88.0,95.0,721
2024-06-04,90.5,93.30000305175781,89.0,90.0,188
2024-06-05,90.5,94.30000305175781,89.0,91.30000305175781,288
2024-06-06,75.5999984741211,102.0,72.0,99.0,27933
