Price,Close,High,Low,Open,Volume
Ticker,CRL,CRL,CRL,CRL,CRL
Date,,,,,
2024-02-26,249.55999755859375,250.97999572753906,245.5500030517578,246.1699981689453,573100
2024-02-27,252.9499969482422,253.60000610351562,249.0399932861328,250.5500030517578,483200
2024-02-28,256.7300109863281,260.0400085449219,251.72999572753906,252.19000244140625,745200
2024-02-29,254.19000244140625,259.69000244140625,252.89999389648438,257.7699890136719,647200
2024-03-01,264.3800048828125,265.79998779296875,250.72999572753906,254.19000244140625,834600
2024-03-04,258.9200134277344,264.80999755859375,258.7900085449219,262.7200012207031,400300
2024-03-05,261.2699890136719,262.1199951171875,256.1099853515625,256.2699890136719,499900
2024-03-06,263.44000244140625,269.1000061035156,262.9700012207031,262.9700012207031,522500
2024-03-07,270.2699890136719,271.5400085449219,264.5199890136719,266.79998779296875,368400
2024-03-08,266.9700012207031,275.0,265.4100036621094,271.30999755859375,532300
2024-03-11,263.0899963378906,267.6000061035156,262.25,266.9800109863281,474500
2024-03-12,264.1199951171875,268.2099914550781,261.1700134277344,262.7900085449219,503400
2024-03-13,261.17999267578125,267.20001220703125,259.3599853515625,265.1700134277344,577600
2024-03-14,260.5,264.8599853515625,256.8299865722656,261.17999267578125,404600
2024-03-15,258.9700012207031,261.5799865722656,255.0399932861328,255.60000610351562,835200
2024-03-18,262.1300048828125,266.0,258.8800048828125,260.9100036621094,379800
2024-03-19,266.510009765625,266.6099853515625,261.3699951171875,261.3699951171875,551700
2024-03-20,268.1700134277344,269.0,262.6199951171875,266.3299865722656,379800
2024-03-21,273.42999267578125,274.6199951171875,269.9599914550781,270.0,440900
2024-03-22,272.57000732421875,274.7699890136719,268.2300109863281,273.69000244140625,377600
2024-03-25,265.6099853515625,273.57000732421875,265.1600036621094,273.57000732421875,381000
2024-03-26,265.44000244140625,267.2900085449219,263.3500061035156,265.6400146484375,314800
2024-03-27,269.3699951171875,269.95001220703125,266.05999755859375,268.7900085449219,288900
2024-03-28,270.95001220703125,272.19000244140625,267.2300109863281,269.5899963378906,497500
2024-04-01,268.7300109863281,273.32000732421875,267.8299865722656,271.1199951171875,337500
2024-04-02,261.82000732421875,267.8299865722656,258.8800048828125,267.239990234375,553600
2024-04-03,259.30999755859375,261.54998779296875,258.1700134277344,261.1000061035156,606400
2024-04-04,250.66000366210938,264.7099914550781,250.1300048828125,261.95001220703125,687300
2024-04-05,253.10000610351562,256.1300048828125,249.36000061035156,251.27999877929688,529900
2024-04-08,254.9199981689453,257.5199890136719,253.00999450683594,253.94000244140625,442600
2024-04-09,257.1499938964844,258.55999755859375,256.0400085449219,257.2799987792969,328400
2024-04-10,247.49000549316406,251.30999755859375,246.3800048828125,250.1699981689453,486700
2024-04-11,246.4199981689453,250.72000122070312,246.24000549316406,249.3000030517578,320900
2024-04-12,241.33999633789062,246.57000732421875,239.66000366210938,244.07000732421875,389700
2024-04-15,235.92999267578125,244.41000366210938,234.1699981689453,244.32000732421875,462300
2024-04-16,232.33999633789062,235.9199981689453,231.39999389648438,235.9199981689453,336000
2024-04-17,230.08999633789062,234.39999389648438,229.85000610351562,234.39999389648438,499800
2024-04-18,227.5500030517578,233.72000122070312,223.49000549316406,228.02000427246094,710200
2024-04-19,226.77999877929688,230.33999633789062,225.64999389648438,227.13999938964844,409100
2024-04-22,232.55999755859375,232.6699981689453,225.7899932861328,228.9499969482422,544700
2024-04-23,240.1300048828125,242.91000366210938,236.22000122070312,237.8300018310547,611900
2024-04-24,239.42999267578125,244.55999755859375,237.44000244140625,239.27999877929688,705100
2024-04-25,227.80999755859375,237.30999755859375,225.97000122070312,237.30999755859375,762900
2024-04-26,229.02999877929688,230.86000061035156,227.38999938964844,227.38999938964844,322100
2024-04-29,232.10000610351562,233.27999877929688,230.30999755859375,230.8800048828125,323100
2024-04-30,229.0,232.17999267578125,225.5800018310547,231.30999755859375,512300
2024-05-01,232.69000244140625,237.6199951171875,226.44000244140625,229.8000030517578,534500
2024-05-02,229.88999938964844,233.85000610351562,225.74000549316406,233.85000610351562,409200
2024-05-03,233.47000122070312,238.3800048828125,232.3800048828125,233.61000061035156,466200
2024-05-06,235.27000427246094,235.88999938964844,232.72000122070312,235.60000610351562,427400
2024-05-07,236.3000030517578,238.22999572753906,235.38999938964844,236.89999389648438,473900
2024-05-08,235.2899932861328,236.8800048828125,233.0,235.27999877929688,610300
2024-05-09,230.08999633789062,238.91000366210938,226.0,236.0,1004400
2024-05-10,228.1199951171875,230.89999389648438,223.77999877929688,230.25999450683594,842500
2024-05-13,228.41000366210938,229.0,225.8699951171875,228.05999755859375,447300
2024-05-14,232.82000732421875,233.1699981689453,227.50999450683594,230.30999755859375,502300
2024-05-15,232.55999755859375,238.22000122070312,232.55999755859375,236.07000732421875,529500
2024-05-16,224.75,230.8300018310547,220.44000244140625,230.8300018310547,1301400
2024-05-17,221.61000061035156,225.2899932861328,220.3699951171875,225.2899932861328,927600
2024-05-20,223.05999755859375,223.17999267578125,218.97000122070312,222.3699951171875,473700
2024-05-21,221.47999572753906,223.5,219.77999877929688,222.83999633789062,375300
2024-05-22,219.0,222.11000061035156,218.3800048828125,220.97999572753906,360300
2024-05-23,217.5500030517578,220.2899932861328,215.67999267578125,220.2899932861328,340000
2024-05-24,217.2100067138672,217.88999938964844,215.67999267578125,217.88999938964844,312600
2024-05-28,214.50999450683594,218.63999938964844,212.32000732421875,217.8000030517578,534400
2024-05-29,211.47999572753906,212.8699951171875,209.72999572753906,211.8300018310547,362900
2024-05-30,209.72000122070312,212.30999755859375,208.27000427246094,211.13999938964844,469100
2024-05-31,208.44000244140625,211.69000244140625,206.38999938964844,209.89999389648438,762300
2024-06-03,207.92999267578125,210.05999755859375,204.9499969482422,209.64999389648438,742100
2024-06-04,210.22999572753906,210.25,204.3300018310547,207.38999938964844,602100
2024-06-05,216.1199951171875,216.50999450683594,208.75999450683594,210.6699981689453,809800
2024-06-06,221.6199951171875,222.77000427246094,215.00999450683594,217.6199951171875,679200
2024-06-07,214.7899932861328,219.72999572753906,214.69000244140625,219.2100067138672,464600
2024-06-10,214.50999450683594,215.61000061035156,210.97999572753906,212.9499969482422,594000
2024-06-11,210.42999267578125,214.38999938964844,209.33999633789062,212.77000427246094,499100
2024-06-12,213.83999633789062,217.19000244140625,213.1699981689453,213.8800048828125,390300
2024-06-13,212.44000244140625,214.27999877929688,210.2899932861328,212.88999938964844,337000
2024-06-14,209.47000122070312,211.10000610351562,206.30999755859375,211.10000610351562,407100
2024-06-17,208.41000366210938,209.05999755859375,207.02000427246094,208.22999572753906,396600
2024-06-18,209.8000030517578,211.49000549316406,207.13999938964844,208.9499969482422,336100
2024-06-20,209.6300048828125,210.4600067138672,206.4199981689453,207.1300048828125,478400
2024-06-21,211.60000610351562,212.3000030517578,208.69000244140625,210.3300018310547,681800
2024-06-24,209.85000610351562,213.6300048828125,209.77000427246094,212.00999450683594,347600
2024-06-25,206.38999938964844,210.30999755859375,204.0,209.16000366210938,454400
2024-06-26,206.7100067138672,206.97000122070312,203.60000610351562,205.8800048828125,311900
2024-06-27,207.35000610351562,207.75,205.2899932861328,205.41000366210938,292400
2024-06-28,206.5800018310547,209.6999969482422,204.42999267578125,205.9199981689453,666800
2024-07-01,203.24000549316406,211.89999389648438,202.57000732421875,207.47000122070312,418300
2024-07-02,201.47999572753906,204.10000610351562,201.08999633789062,203.10000610351562,448000
2024-07-03,201.4199981689453,204.3699951171875,200.86000061035156,202.75,176500
2024-07-05,199.66000366210938,201.9199981689453,197.5,201.4199981689453,516600
2024-07-08,202.4600067138672,204.00999450683594,198.39999389648438,201.52999877929688,456200
2024-07-09,201.85000610351562,203.58999633789062,199.99000549316406,202.4600067138672,352400
2024-07-10,202.7100067138672,203.85000610351562,198.00999450683594,199.99000549316406,526100
2024-07-11,210.8800048828125,212.50999450683594,205.50999450683594,206.4499969482422,441500
