Price,Close,High,Low,Open,Volume
Ticker,CRNT,CRNT,CRNT,CRNT,CRNT
Date,,,,,
2024-02-26,3.049999952316284,3.069999933242798,2.890000104904175,2.950000047683716,1664700
2024-02-27,2.990000009536743,3.119999885559082,2.940000057220459,3.0799999237060547,829000
2024-02-28,2.940000057220459,2.9800000190734863,2.9200000762939453,2.9700000286102295,404400
2024-02-29,3.049999952316284,3.0799999237060547,2.950000047683716,2.950000047683716,757100
2024-03-01,3.0299999713897705,3.119999885559082,3.0,3.069999933242798,669100
2024-03-04,3.009999990463257,3.1500000953674316,2.9600000381469727,3.049999952316284,1084100
2024-03-05,2.940000057220459,3.0399999618530273,2.9100000858306885,2.9600000381469727,580600
2024-03-06,2.9800000190734863,3.0299999713897705,2.950000047683716,2.9600000381469727,598000
2024-03-07,2.9600000381469727,3.0,2.930000066757202,2.990000009536743,297900
2024-03-08,2.9600000381469727,3.009999990463257,2.9200000762939453,2.930000066757202,519300
2024-03-11,2.990000009536743,3.009999990463257,2.9100000858306885,2.950000047683716,588400
2024-03-12,3.069999933242798,3.0799999237060547,2.950000047683716,2.990000009536743,714200
2024-03-13,3.119999885559082,3.2200000286102295,3.069999933242798,3.0999999046325684,1016200
2024-03-14,3.069999933242798,3.200000047683716,3.069999933242798,3.119999885559082,696400
2024-03-15,3.069999933242798,3.0999999046325684,3.0199999809265137,3.059999942779541,479000
2024-03-18,3.049999952316284,3.109999895095825,3.009999990463257,3.0799999237060547,427900
2024-03-19,2.9800000190734863,3.0399999618530273,2.9100000858306885,3.0399999618530273,725200
2024-03-20,3.0199999809265137,3.0399999618530273,2.9700000286102295,2.9700000286102295,235800
2024-03-21,3.1700000762939453,3.1700000762939453,3.0299999713897705,3.0299999713897705,1088300
2024-03-22,3.140000104904175,3.2300000190734863,3.109999895095825,3.1500000953674316,505300
2024-03-25,3.2899999618530273,3.380000114440918,3.1700000762939453,3.1700000762939453,1293900
2024-03-26,3.190000057220459,3.319999933242798,3.180000066757202,3.299999952316284,493300
2024-03-27,3.2200000286102295,3.2300000190734863,3.1700000762939453,3.190000057220459,269500
2024-03-28,3.200000047683716,3.2899999618530273,3.190000057220459,3.2200000286102295,362100
2024-04-01,3.069999933242798,3.2200000286102295,3.069999933242798,3.1700000762939453,514600
2024-04-02,3.0899999141693115,3.119999885559082,3.009999990463257,3.069999933242798,431200
2024-04-03,3.0799999237060547,3.140000104904175,3.049999952316284,3.049999952316284,210600
2024-04-04,3.109999895095825,3.2100000381469727,3.0999999046325684,3.0999999046325684,493700
2024-04-05,3.190000057220459,3.200000047683716,3.0999999046325684,3.109999895095825,399900
2024-04-08,3.180000066757202,3.25,3.140000104904175,3.190000057220459,378100
2024-04-09,3.1600000858306885,3.190000057220459,3.0999999046325684,3.190000057220459,287400
2024-04-10,3.009999990463257,3.130000114440918,2.9800000190734863,3.0999999046325684,301400
2024-04-11,3.0899999141693115,3.109999895095825,3.009999990463257,3.009999990463257,328900
2024-04-12,2.9100000858306885,3.0899999141693115,2.8499999046325684,3.0899999141693115,781700
2024-04-15,2.7699999809265137,2.9200000762939453,2.759999990463257,2.9200000762939453,832500
2024-04-16,2.759999990463257,2.819999933242798,2.740000009536743,2.75,342400
2024-04-17,2.7899999618530273,2.880000114440918,2.759999990463257,2.7699999809265137,264400
2024-04-18,2.700000047683716,2.7899999618530273,2.700000047683716,2.7699999809265137,514100
2024-04-19,2.7300000190734863,2.7799999713897705,2.680000066757202,2.7200000286102295,431400
2024-04-22,2.759999990463257,2.8299999237060547,2.7100000381469727,2.740000009536743,322900
2024-04-23,2.7899999618530273,2.8499999046325684,2.740000009536743,2.759999990463257,303500
2024-04-24,2.7100000381469727,2.7799999713897705,2.680000066757202,2.7699999809265137,274500
2024-04-25,2.740000009536743,2.7699999809265137,2.680000066757202,2.690000057220459,259400
2024-04-26,2.759999990463257,2.8299999237060547,2.7100000381469727,2.7300000190734863,273700
2024-04-29,2.819999933242798,2.8399999141693115,2.690000057220459,2.759999990463257,370500
2024-04-30,2.7699999809265137,2.819999933242798,2.75,2.7899999618530273,125100
2024-05-01,2.7699999809265137,2.8299999237060547,2.740000009536743,2.759999990463257,186900
2024-05-02,2.859999895095825,2.9100000858306885,2.759999990463257,2.799999952316284,598400
2024-05-03,3.0399999618530273,3.0899999141693115,2.890000104904175,2.9000000953674316,952400
2024-05-06,3.1500000953674316,3.190000057220459,3.0399999618530273,3.069999933242798,940900
2024-05-07,2.7699999809265137,2.940000057220459,2.6600000858306885,2.9000000953674316,1984100
2024-05-08,2.8399999141693115,2.890000104904175,2.759999990463257,2.7799999713897705,446100
2024-05-09,2.859999895095825,2.9000000953674316,2.819999933242798,2.8399999141693115,332400
2024-05-10,2.8299999237060547,2.9000000953674316,2.809999942779541,2.8299999237060547,310800
2024-05-13,2.6700000762939453,2.809999942779541,2.5999999046325684,2.809999942779541,970600
2024-05-14,2.6700000762939453,2.7200000286102295,2.630000114440918,2.680000066757202,379000
2024-05-15,2.690000057220459,2.700000047683716,2.6600000858306885,2.680000066757202,240200
2024-05-16,2.690000057220459,2.7300000190734863,2.6600000858306885,2.680000066757202,357300
2024-05-17,2.7300000190734863,2.740000009536743,2.6700000762939453,2.690000057220459,349700
2024-05-20,2.75,2.8299999237060547,2.7300000190734863,2.7300000190734863,285200
2024-05-21,2.799999952316284,2.819999933242798,2.740000009536743,2.75,210100
2024-05-22,2.740000009536743,2.7899999618530273,2.7100000381469727,2.7699999809265137,202100
2024-05-23,2.6600000858306885,2.75,2.6500000953674316,2.75,253100
2024-05-24,2.700000047683716,2.7899999618530273,2.619999885559082,2.6500000953674316,235600
2024-05-28,2.640000104904175,2.75,2.609999895095825,2.700000047683716,235400
2024-05-29,2.559999942779541,2.6600000858306885,2.559999942779541,2.619999885559082,265000
2024-05-30,2.609999895095825,2.6600000858306885,2.5199999809265137,2.5299999713897705,258700
2024-05-31,2.630000114440918,2.6600000858306885,2.5799999237060547,2.5999999046325684,156200
2024-06-03,2.609999895095825,2.6600000858306885,2.5899999141693115,2.640000104904175,237100
2024-06-04,2.5999999046325684,2.619999885559082,2.559999942779541,2.5999999046325684,138100
2024-06-05,2.569999933242798,2.619999885559082,2.5399999618530273,2.5999999046325684,291300
2024-06-06,2.5899999141693115,2.609999895095825,2.559999942779541,2.569999933242798,166900
2024-06-07,2.619999885559082,2.640000104904175,2.569999933242798,2.569999933242798,248900
2024-06-10,2.5299999713897705,2.569999933242798,2.5299999713897705,2.559999942779541,304800
2024-06-11,2.5199999809265137,2.569999933242798,2.509999990463257,2.5199999809265137,170100
2024-06-12,2.5299999713897705,2.609999895095825,2.5,2.5299999713897705,269300
2024-06-13,2.5299999713897705,2.5399999618530273,2.4700000286102295,2.5199999809265137,229700
2024-06-14,2.4600000381469727,2.5199999809265137,2.430000066757202,2.5199999809265137,240500
2024-06-17,2.4600000381469727,2.4600000381469727,2.4200000762939453,2.430000066757202,292800
2024-06-18,2.5199999809265137,2.549999952316284,2.450000047683716,2.450000047683716,358100
2024-06-20,2.4100000858306885,2.5799999237060547,2.4100000858306885,2.509999990463257,616800
2024-06-21,2.4800000190734863,2.4800000190734863,2.3499999046325684,2.4100000858306885,492300
2024-06-24,2.430000066757202,2.5199999809265137,2.380000114440918,2.4600000381469727,741600
