Price,Close,High,Low,Open,Volume
Ticker,CW,CW,CW,CW,CW
Date,,,,,
2024-02-26,237.34422302246094,239.19902076152192,237.23453011040493,238.32149268118042,134600
2024-02-27,235.3697509765625,238.17188811604282,233.9337766606182,236.1575496269429,196300
2024-02-28,234.8412322998047,235.85838329893755,233.71438839668585,235.1403961485032,204400
2024-02-29,235.6090850830078,236.84560668689306,233.83406550263237,235.43956245073662,333800
2024-03-01,237.46388244628906,237.47384899543334,234.42241118566457,235.18027975548185,180900
2024-03-04,239.4483184814453,240.9341560506662,236.94534506698136,237.9724626779917,276700
2024-03-05,238.27162170410156,242.11084306823417,236.76583585004505,239.9369484300233,181800
2024-03-06,240.95408630371094,241.0438308922509,238.68046543073413,239.49816370871795,139500
2024-03-07,242.07095336914062,242.52967330233128,239.88707704011094,241.38288107740738,188000
2024-03-08,241.23330688476562,243.46703117664163,240.09649642447718,242.55958829111978,176900
2024-03-11,236.92538452148438,240.42557571729628,235.79855582371255,240.42557571729628,126500
2024-03-12,239.21896362304688,239.24887848782495,235.64897600383617,236.24730373161015,145300
2024-03-13,240.26602172851562,240.44551091134963,237.48381766574295,239.3186822037562,153200
2024-03-14,240.29592895507812,241.50253566650608,238.14196753289445,241.0438309586609,125200
2024-03-15,242.19061279296875,243.96563236638553,239.10926012838513,239.10926012838513,587800
2024-03-18,244.04541015625,244.60384122828606,242.15073113096972,243.1678821356671,178700
2024-03-19,242.57952880859375,245.21214338746935,240.76462776593627,244.76340520554513,250000
2024-03-20,244.6437530517578,245.10245779680383,241.84161575232528,242.32026881292742,282000
2024-03-21,245.82041931152344,246.94726317305836,245.00272105243536,245.31185143877738,189800
2024-03-22,249.31063842773438,249.43031309718785,246.36889354278733,246.87747665172728,260400
2024-03-25,248.752197265625,250.31781272523781,246.87746663610554,248.05415845590474,244600
2024-03-26,250.5072784423828,251.06570947852177,248.45302825072233,248.45302825072233,187000
2024-03-27,253.06216430664062,253.20188330937245,249.63902589736705,251.54520425681707,373700
2024-03-28,255.4274139404297,256.854542672337,252.0941068410316,255.09807302655204,256600
2024-04-01,256.4253845214844,257.1339539546029,254.48926765652226,256.49525162999817,320200
2024-04-02,254.4793243408203,257.3934744843621,252.89249713935982,256.0361823865706,179300
2024-04-03,256.77471923828125,257.3834829375509,253.53121296955652,254.48929702347763,211200
2024-04-04,255.05816650390625,259.18985931413766,254.46933654830724,258.7507380841572,217200
2024-04-05,258.61102294921875,258.96032806542706,254.32960637314582,254.98828818919228,387000
2024-04-08,258.40142822265625,260.9363189838255,257.8924399443833,259.6389349078398,436900
2024-04-09,254.0501708984375,257.71283411126564,252.55317506247573,257.4932735037329,182800
2024-04-10,252.4733428955078,254.18989940317323,250.94640830400297,252.43342970547755,163900
2024-04-11,251.93441772460938,253.13201132904166,251.10607821425123,253.13201132904166,129400
2024-04-12,248.91049194335938,252.6729305233508,247.2637873825168,251.49530110550202,150000
2024-04-15,246.5851593017578,252.33361790836153,246.21590519686697,252.27374051062026,126100
2024-04-16,249.42942810058594,251.84459467908684,245.9364379676068,246.50530367024163,202100
2024-04-17,249.1699676513672,251.52524173335996,248.14203171833336,251.4953030345904,142600
2024-04-18,248.03225708007812,251.52524747980522,247.5033197520921,249.4993142662219,180900
2024-04-19,249.73883056640625,251.5052746867964,248.21189603347014,249.49930575072307,133400
2024-04-22,250.44740295410156,251.68492500705386,248.95040710233977,250.33762264917652,162300
2024-04-23,252.8126678466797,253.74079796922945,250.96636686357644,251.1759377559196,129200
2024-04-24,252.13401794433594,253.69089117653132,250.36755859477776,253.69089117653132,115700
2024-04-25,252.98231506347656,253.481313662201,248.6410211632825,251.1659528545698,141400
2024-04-26,253.50128173828125,254.4893045203465,251.3356294840643,253.6909036565975,137100
2024-04-29,256.48529052734375,256.86453435135144,253.9603587299049,253.9603587299049,156200
2024-04-30,252.91246032714844,259.35952923859577,252.72283841383683,257.1839025512361,317500
2024-05-01,256.46533203125,258.49126513381765,251.3156628122081,252.54319510722814,232400
2024-05-02,262.4034118652344,266.88444026624694,250.46737318150215,257.48329269042875,272200
2024-05-03,267.6329040527344,268.4612282707219,264.5391068549777,266.09597994300526,303300
2024-05-06,273.1418762207031,279.22966568034445,270.17782310015,270.7865868178843,207100
2024-05-07,276.03607177734375,277.5729961595418,273.1418856753059,273.1418856753059,284000
2024-05-08,273.6907653808594,277.7925500549006,272.9722061182187,276.1159219275591,174900
2024-05-09,276.5250549316406,276.70471757724886,273.8504297049878,273.8504297049878,133000
2024-05-10,276.7745666503906,279.33942691754254,276.29554745783634,279.33942691754254,146000
2024-05-13,272.4632263183594,277.7027116375951,272.44324688215323,277.4132839207244,161100
2024-05-14,273.9302673339844,274.1298484891182,271.375397079207,272.56298566186126,157300
2024-05-15,276.4452209472656,277.9222677491424,274.79853167912387,274.79853167912387,168600
2024-05-16,276.0160827636719,278.0919034624969,275.8763485417107,276.7346419395068,139000
2024-05-17,277.6528015136719,278.85041037520205,275.5470419722906,277.02405838419145,129700
2024-05-20,278.8304748535156,279.239626936888,276.63486865355196,277.61291695289214,174900
2024-05-21,284.6387634277344,285.6666992913253,276.94421379917594,279.43920671628564,304800
2024-05-22,280.1877136230469,284.768517111744,278.3613921496934,284.768517111744,180600
2024-05-23,281.0459899902344,284.2395933618733,279.5190554212257,282.0939053730185,232600
2024-05-24,280.14776611328125,282.00405661428533,279.5489617433943,282.00405661428533,170500
2024-05-28,277.09393310546875,281.13584028172824,277.01410672552305,280.13784302188037,195700
