Price,Close,High,Low,Open,Volume
Ticker,CYN,CYN,CYN,CYN,CYN
Date,,,,,
2024-02-26,3075.0,3300.0,2850.0,2940.0,316
2024-02-27,2805.0,3330.0,2295.0,3150.0,621
2024-02-28,2745.0,2925.0,2700.0,2865.0,161
2024-02-29,2700.0,2925.0,2595.0,2850.0,215
2024-03-01,2955.0,3015.0,2640.0,2715.0,159
2024-03-04,3090.0,3195.0,2925.0,3060.0,226
2024-03-05,3000.0,3150.0,2895.0,3060.0,169
2024-03-06,3120.0,3240.0,2880.0,3150.0,608
2024-03-07,2700.0,2805.0,2460.0,2580.0,373
2024-03-08,2760.0,2790.0,2580.0,2625.0,156
2024-03-11,2805.0,3000.0,2670.0,2745.0,217
2024-03-12,2460.0,2760.0,2460.0,2745.0,318
2024-03-13,2520.0,2655.0,2490.0,2535.0,130
2024-03-14,2370.0,2685.0,2370.0,2685.0,195
2024-03-15,2400.0,2625.0,2400.0,2505.0,157
2024-03-18,2385.0,2535.0,2370.0,2505.0,139
2024-03-19,2475.0,3150.0,2460.0,2475.0,1375
2024-03-20,2400.0,2625.0,2340.0,2550.0,340
2024-03-21,2445.0,2490.0,2355.0,2400.0,273
2024-03-22,2250.0,2430.0,2175.0,2400.0,253
2024-03-25,2370.0,2385.0,2235.0,2325.0,98
2024-03-26,2370.0,2400.0,2280.0,2400.0,133
2024-03-27,2595.0,2595.0,2295.0,2295.0,164
2024-03-28,2490.0,2625.0,2475.0,2550.0,102
2024-04-01,2550.0,2610.0,2475.0,2550.0,67
2024-04-02,2490.0,2580.0,2355.0,2550.0,105
2024-04-03,2430.0,2550.0,2325.0,2430.0,71
2024-04-04,2550.0,2955.0,2250.0,2400.0,300
2024-04-05,2340.0,2475.0,2325.0,2475.0,99
2024-04-08,2355.0,2550.0,2250.0,2385.0,57
2024-04-09,2310.0,2355.0,2220.0,2325.0,169
2024-04-10,2355.0,2475.0,2220.0,2415.0,89
2024-04-11,2325.0,2355.0,2265.0,2325.0,56
2024-04-12,2175.0,2400.0,2100.0,2355.0,220
2024-04-15,1695.0,1950.0,1650.0,1935.0,356
2024-04-16,1515.0,1800.0,1500.0,1740.0,431
2024-04-17,1530.0,1650.0,1500.0,1515.0,167
2024-04-18,1620.0,1680.0,1575.0,1680.0,155
2024-04-19,1620.0,1695.0,1575.0,1650.0,108
2024-04-22,1815.0,1875.0,1650.0,1695.0,218
2024-04-23,1710.0,3885.0,1545.0,3360.0,21772
2024-04-24,1605.0,1665.0,1515.0,1650.0,3437
2024-04-25,1620.0,1710.0,1500.0,1515.0,1564
2024-04-26,1650.0,1665.0,1575.0,1605.0,933
2024-04-29,1740.0,1770.0,1575.0,1605.0,856
2024-04-30,1665.0,1725.0,1650.0,1680.0,501
2024-05-01,1680.0,1710.0,1620.0,1665.0,414
2024-05-02,1620.0,1680.0,1590.0,1650.0,458
