Price,Close,High,Low,Open,Volume
Ticker,DIAX,DIAX,DIAX,DIAX,DIAX
Date,,,,,
2024-02-26,13.498064041137695,13.608855159666062,13.461133668294906,13.608855159666062,70600
2024-02-27,13.433436393737793,13.562692261184582,13.41497076667993,13.544227514616281,66200
2024-02-28,13.396505355834961,13.461133286353729,13.378039729692734,13.433435727629902,48100
2024-02-29,13.396505355834961,13.507296471219783,13.387272542763847,13.451900473282613,78300
2024-03-01,13.479598999023438,13.498063744794676,13.405738254959433,13.451900559632294,40200
2024-03-04,13.461133003234863,13.470365816111789,13.405737886952299,13.470365816111789,65900
2024-03-05,13.331876754760742,13.46113349832317,13.31341200881727,13.46113349832317,66200
2024-03-06,13.359575271606445,13.47959920264591,13.359575271606445,13.36880720438676,100000
2024-03-07,13.396505355834961,13.479598912495957,13.387272542763847,13.433435727629902,79200
2024-03-08,13.359575271606445,13.488831135426226,13.33187683179689,13.414970390246483,52000
2024-03-11,13.341109275817871,13.368806834371291,13.304178904250142,13.359574901846491,70600
2024-03-12,13.51653003692627,13.534994783607146,13.341110100765329,13.368807661031427,86200
2024-03-13,13.451900482177734,13.553459665048115,13.442668549590032,13.553459665048115,85500
2024-03-14,13.35489559173584,13.52442115549798,13.326640582623824,13.420822149966561,90700
2024-03-15,13.326640129089355,13.449075803195367,13.317222691221172,13.354895137239794,63000
2024-03-18,13.35489559173584,13.458494597267258,13.336058918994496,13.392568039036536,46000
2024-03-19,13.467911720275879,13.524419937044943,13.392566832462519,13.392566832462519,90800
2024-03-20,13.524419784545898,13.580928898859687,13.486747341064007,13.505584011895904,132000
2024-03-21,13.693946838378906,13.712783510048613,13.524420386079315,13.580929502906493,85200
2024-03-22,13.628020286560059,13.693946841053021,13.609183614886673,13.693946841053021,54900
2024-03-25,13.571511268615723,13.599765378149742,13.552675494987025,13.599765378149742,34900
2024-03-26,13.543256759643555,13.675110763883389,13.543256759643555,13.571510868344262,73200
2024-03-27,13.731618881225586,13.731618881225586,13.628019884623283,13.628019884623283,99100
2024-03-28,13.806963920593262,13.806963920593262,13.731619031660355,13.731619031660355,94700
2024-04-01,13.741037368774414,13.882308810993063,13.731619033111324,13.844636366522629,85400
2024-04-02,13.571511268615723,13.646856159494407,13.53383882317638,13.618602049960387,98600
2024-04-03,13.477330207824707,13.637437422597703,13.477330207824707,13.533838425231194,88200
2024-04-04,13.270132064819336,13.543257526203766,13.270132064819336,13.505585079743222,170700
2024-04-05,13.326640129089355,13.373730911158123,13.204205353165307,13.251295237052114,63700
2024-04-08,13.31722354888916,13.364313435808691,13.27013276378761,13.31722354888916,54300
2024-04-09,13.28896713256836,13.41140280160241,13.241877250632276,13.41140280160241,93400
2024-04-10,13.119441032409668,13.241876696318478,12.931077919822645,13.241876696318478,162100
2024-04-11,13.223040580749512,13.241877252071532,13.138277356164272,13.204204807609417,44700
2024-04-12,12.940496444702148,13.185367776107807,12.921660672076582,13.185367776107807,84100
2024-04-15,12.80864429473877,13.081769754494221,12.770971848502914,13.015842299944998,104000
2024-04-16,12.874570846557617,12.921661628881294,12.846316736436199,12.86515251045649,87200
2024-04-17,12.902824401855469,13.034678407055624,12.808643739439868,12.949915182154232,93400
2024-04-18,12.912242889404297,12.987587779495632,12.865152108551728,12.987587779495632,162900
2024-04-19,12.921661376953125,12.949915486523686,12.846316485976997,12.949915486523686,162200
2024-04-22,13.072351455688477,13.091187229769165,12.95933411665844,12.997006563001785,75700
2024-04-23,13.232460021972656,13.232460021972656,13.110024342695889,13.16653256501932,101600
2024-04-24,13.166531562805176,13.270131459482283,13.147695789525113,13.270131459482283,105100
2024-04-25,13.110023498535156,13.138277607877576,13.03467860816741,13.110023498535156,111000
2024-04-26,13.091187477111816,13.175950707531337,13.072351702675247,13.128859924166939,64600
2024-04-29,13.138278007507324,13.157114679763191,13.110023897305494,13.119442233433427,50300
2024-04-30,13.044095993041992,13.128858314889738,13.025259322732353,13.128858314889738,59700
2024-05-01,13.091187477111816,13.175950707531337,13.025260919310849,13.025260919310849,104600
2024-05-02,13.12885856628418,13.194786015448434,13.11944112913091,13.194786015448434,33500
2024-05-03,13.241877555847168,13.317222446499851,13.204205110520826,13.204205110520826,27900
2024-05-06,13.279549598693848,13.336057815879723,13.241877154509291,13.336057815879723,39400
2024-05-07,13.25129508972168,13.345476652812085,13.232459316012768,13.345476652812085,78100
2024-05-08,13.31722354888916,13.31722354888916,13.241878651999485,13.241878651999485,38000
2024-05-09,13.458494186401367,13.458494186401367,13.317222737882041,13.336058511866367,71000
2024-05-10,13.467911720275879,13.496165828660411,13.449075049231583,13.486747493138264,28500
2024-05-13,13.477330207824707,13.562092533934438,13.467911872196318,13.533838425231194,46300
2024-05-14,13.449075698852539,13.533838926282304,13.411403253126194,13.411403253126194,62300
2024-05-15,13.533839225769043,13.571511672329033,13.449075996463575,13.486748443023565,65700
2024-05-16,13.505584716796875,13.571511271785635,13.48674804498183,13.571511271785635,63000
2024-05-17,13.467911720275879,13.50558416418256,13.439657611891347,13.45849338475373,57900
2024-05-20,13.458494186401367,13.54325741478575,13.43965841241704,13.43965841241704,61200
2024-05-21,13.467911720275879,13.50558416418256,13.449075049231583,13.496165828660411,40000
2024-05-22,13.458494186401367,13.524420742619458,13.430240076333895,13.449075850318222,50700
2024-05-23,13.25129508972168,13.458493989611402,13.25129508972168,13.458493989611402,49900
2024-05-24,13.345476150512695,13.354894486103637,13.270131262148995,13.307803706330846,36200
2024-05-28,13.204204559326172,13.32663932788942,13.204204559326172,13.32663932788942,39400
2024-05-29,13.03467845916748,13.166531566712848,13.03467845916748,13.166531566712848,52000
2024-05-30,12.9970064163208,13.223041091829902,12.987588080295765,13.006424752345836,117700
2024-05-31,13.091187477111816,13.11002414973037,13.015842583001572,13.025260919310849,77300
2024-06-03,13.119441032409668,13.185367582905995,13.081768589528641,13.166530912374537,46700
2024-06-04,13.19478702545166,13.288967691466736,13.044097241281968,13.128859571240948,87200
2024-06-05,13.279549598693848,13.383148595655898,13.194786374733118,13.26071292751061,59000
2024-06-06,13.28896713256836,13.420821137262395,13.260713023770325,13.307803803888334,44100
2024-06-07,13.345476150512695,13.383148594694546,13.288967035148962,13.288967035148962,42000
2024-06-10,13.336058616638184,13.40198517337421,13.279550396059294,13.364312726927627,40500
2024-06-11,13.31722354888916,13.364313435808691,13.279551100444323,13.364313435808691,37400
2024-06-12,13.260712623596191,13.439657403008143,13.241876851026559,13.411402396880847,54600
2024-06-13,13.241877555847168,13.298385774745707,13.185368438766684,13.260713329419367,44300
2024-06-14,13.287064552307129,13.30629374038599,13.171692174528413,13.219764227827417,50700
2024-06-17,13.258221626281738,13.315908273355609,13.210149573203203,13.306293679360271,73300
2024-06-18,13.162077903747559,13.238993741053896,13.142849632094606,13.190921686574251,111200
2024-06-20,13.21976375579834,13.248606619988609,13.133234246329415,13.162077110519684,111500
2024-06-21,13.325521469116211,13.325521469116211,13.258221147376135,13.296678605070195,47300
2024-06-24,13.325521469116211,13.412050978152374,13.315907792366282,13.383208114106358,55800
2024-06-25,13.354365348815918,13.440893941593844,13.315907890837465,13.402436483615391,79400
2024-06-26,13.325521469116211,13.402436384504329,13.277450334672222,13.315907792366282,48100
2024-06-27,13.344751358032227,13.383208817748244,13.296679304162664,13.30629389831621,65100
2024-06-28,13.469738006591797,13.498580871458895,13.383208495092358,13.383208495092358,195200
2024-07-01,13.460123062133789,13.633182080625764,13.421665604346474,13.594724622838449,89700
2024-07-02,13.556266784667969,13.565880461171453,13.440893497645233,13.488965547755024,67200
2024-07-03,13.53703784942627,13.62356735785227,13.50819498558364,13.53703784942627,54800
2024-07-05,13.498579978942871,13.575494891435007,13.469737115982841,13.50819457222891,25600
2024-07-08,13.421666145324707,13.488966469940607,13.402436957206932,13.450509010603213,69600
2024-07-09,13.4120512008667,13.450508659199365,13.383208336341731,13.431280388482097,46800
2024-07-10,13.44089412689209,13.450508720743782,13.354365532921268,13.3928229914299,81700
